index,address,longitude,lat,locality,store_code,staff_numbers,opening_date,store_type,latitude,country_code,continent
21,"Flat 28
Kirby villages
West Vincent
CV4 0RT, Poulton-le-Fylde",53.83333,,Poulton-le-Fylde,PO-38790FAE,25,2010-10-19,Local,-2.98333,GB,Europe
22,"Studio 00p
George point
West Barbara
S5J 3JT, Bushey",51.64316,,Bushey,BU-251A0E5A,35,2013-08-05,Local,-0.36053,GB,Europe
23,"Rena-Karz-Gasse 574
66493 Olpe, Ehingen",48.28259,,Ehingen,EH-91356030,38,2017-12-12,Local,9.72749,DE,Europe
24,"Flat 43d
Hall street
Susanshire
KA9 8HF, Aberdeen",57.14369,,Aberdeen,AB-917B715E,119,2002-06-18,Super Store,-2.09814,GB,Europe
25,"12 William underpass
South Brettland
L3K 8BB, Surbiton",51.39148,,Surbiton,SU-0B4C9A5F,28,2007-06-24,Local,-0.29825,GB,Europe
26,"08 Brenda valleys
North Stewartborough
TQ32 7FS, Inverness",57.47908,,Inverness,IN-157E1191,29,2017-11-04,Local,-4.22398,GB,Europe
27,"Studio 94
Tina freeway
Woodshaven
YO93 9TU, Gainsborough",53.38333,,Gainsborough,GA-DA8EEA4A,29,2008-07-08,Local,-0.76667,GB,Europe
28,"Flat 8
Cooper estates
Reidchester
KY14 4PW, Lancing",50.82882,,Lancing,LA-2B59A825,25,1998-12-23,Local,-0.32247,GB,Europe
29,"Köhlerring 00
08489 Fulda, Weimar",50.9803,,Weimar,WE-31C8B335,27,2011-03-11,Local,11.32903,DE,Europe
30,"Häringstr. 481
62852 Kamenz, Landshut",48.52961,,Landshut,LA-F1042C48,34,2010-08-25,Local,12.16179,DE,Europe
31,"Flat 69
Suzanne walk
East Michelle
E80 8HS, East Dereham",52.68333,,East Dereham,EA-24B31935,J78,2012-11-09,Outlet,0.93333,GB,Europe
32,"Flat 7
Chambers shoals
Carolyntown
SM2 0FQ, East Dereham",52.68333,,East Dereham,EA-7965E06D,96,2016-10-07,Super Store,0.93333,GB,Europe
33,"Studio 1
Davidson harbor
Sheppardview
M9J 9LW, Penzance",50.11861,,Penzance,PE-040B15C3,135,2018-08-15,Super Store,-5.53715,GB,Europe
34,"Sabina-Baum-Platz 4
10599 Wanzleben, Ehingen",48.28259,,Ehingen,EH-DB8676C1,28,1996-10-02,Local,9.72749,DE,Europe
35,"Fechnerweg 6
72000 Greiz, Albstadt",48.21644,,Albstadt,AL-91D3A03C,30,2018-06-18,Local,9.02596,DE,Europe
36,"Kensyring 567
46539 Oschatz, Hechingen",48.35149,,Hechingen,HE-E39F4BC6,31,1995-06-04,Local,8.96317,DE,Europe
37,"978 Daniel viaduct
Johnsonville
E1A 7TW, Poulton-le-Fylde",53.83333,,Poulton-le-Fylde,PO-47A01287,29,1994-10-18,Local,-2.98333,GB,Europe
38,"Flat 8
Grace radial
Georginashire
W06 1BZ, Lancing",50.82882,,Lancing,LA-D78C5F3F,28,2002-07-21,Local,-0.32247,GB,Europe
39,"Studio 55A
Ali brooks
Pearceburgh
SW8 2RT, Mexborough",53.49389,,Mexborough,ME-31958763,90,2013-12-23,Outlet,-1.29243,GB,Europe
40,"420 Harrison way
Whitemouth
E4 5RZ, Arbroath",56.56317,,Arbroath,AR-5E72668B,34,2006-10-04,Local,-2.58736,GB,Europe
41,"7 Sophie ways
East Kevinborough
TD1M 0FG, Cowes",50.76306,,Cowes,CO-CB3D8C89,120,1999-07-17,Super Store,-1.29772,GB,Europe
42,"Studio 46k
Phillips hollow
South Eileen
G21 2EA, Clacton-on-Sea",51.78967,,Clacton-on-Sea,CL-5C7C3198,50,1998-12-19,Outlet,1.15597,GB,Europe
43,"92863 Kathryn Ford Suite 747
East Craig, DC 24439, Boston",42.35843,,Boston,BO-17E7B6CE,75,2019-07-28,Super Store,-71.05977,US,America
44,"Bertold-Nette-Allee 7/8
32669 Chemnitz, Charlottenburg-Nord",52.53048,,Charlottenburg-Nord,CH-619E036C,118,2017-10-21,Super Store,13.29371,DE,Europe
45,"Lindauweg 7
89647 Luckau, Bretten",49.03685,,Bretten,BR-BC499EDD,37,2020-05-13,Local,8.70745,DE,Europe
46,"Flat 85Q
George field
Barrettbury
BS2B 5WR, Newbury",51.40148,,Newbury,NE-E50207AD,67,2019-12-24,Super Store,-1.32471,GB,eeEurope
47,"2 Jade corners
South Ashleybury
W1 0RE, Belper",53.0233,,Belper,BE-8C0CF738,26,2002-04-03,Local,-1.48119,GB,Europe
48,"Studio 1
Brandon branch
Francescaview
TD4N 2XL, Newbury",51.40148,,Newbury,NE-374D3983,20,2009-08-07,Local,-1.32471,GB,eeEurope
49,"0493 Alicia Station Suite 475
Elizabethfort, RI 70019, Sun City Center",27.71809,,Sun City Center,SU-95D20AE9,30,2004-05-23,Local,-82.35176,US,America
50,"9 Parker lake
West Edwardview
SP04 5ZX, Mexborough",53.49389,,Mexborough,ME-FB62E459,40,2001-07-11,Local,-1.29243,GB,Europe
51,"Mosemannstr. 81
30877 Schrobenhausen, Karben",50.23019,,Karben,KA-653E783F,36,1998-07-07,Local,8.77155,DE,Europe
52,"220 Holt Unions Suite 688
Ramirezstad, IL 74968, Martinsburg",39.45621,,Martinsburg,MA-F0E23355,8,2011-07-07,Mall Kiosk,-77.96389,US,America
53,"Trommlerstr. 7/5
75372 Wolfach, Oschatz",51.30001,,Oschatz,OS-70B2CD28,36,2007-02-04,Local,13.10984,DE,Europe
54,"Flat 26c
Walker creek
South Mary
HU8X 8YP, Kingston upon Hull",53.7446,,Kingston upon Hull,KI-A53AF10A,6,1993-10-13,Mall Kiosk,-0.33525,GB,Europe
55,"Flat 40w
Thomas wall
South Susan
LL4 8LG, Leyland",53.69786,,Leyland,LE-63F3D33B,25,2006-06-16,Local,-2.68758,GB,Europe
56,"9066 Rosales Port Suite 675
Meyerville, NV 79336, Venice",27.09978,,Venice,VE-93DA8430,22,2006-02-23,Local,-82.45426,US,eeAmerica
57,"Studio 57
Edwards springs
Johnsonbury
B52 8TN, High Wycombe",51.62907,,High Wycombe,HI-BAD4DD1C,24,2019-09-08,Local,-0.74934,GB,Europe
58,"664 Andrew land
New Mohammadhaven
N07 9JZ, Rutherglen",55.82885,,Rutherglen,RU-1994A94D,83,1993-09-03,Outlet,-4.21376,GB,Europe
59,"21 Michael plains
Port Garethburgh
BL6 5PJ, Leyland",53.69786,,Leyland,LE-84C48B9F,138,2002-01-18,Super Store,-2.68758,GB,Europe
60,"Baumstraße 904
47265 Hildesheim, Schleswig",54.52156,,Schleswig,SC-4928418D,82,2009-04-14,Super Store,9.5586,DE,Europe
61,"Martha-Dörr-Platz 1/3
53035 Bad Mergentheim, Eppingen",49.13645,,Eppingen,EP-105C3FB5,27,2014-07-16,Local,8.91229,DE,Europe
62,"446 Edwards circle
South Dean
S5 5NT, Chapletown",53.46506,,Chapletown,CH-7771B336,32,2012-05-15,Local,-1.47217,GB,Europe
63,6FWDZHD7PW,1ZVU03X2P6,13KJZ890JH,9IBH8Y4Z0S,NRQKZWJ9OZ,BIP8K8JJW2,ZCXWWKF45G,QP74AHEQT0,1CJ5OAU4BR,YELVM536YT,QMAVR5H3LD
64,"Heinrichgasse 96
70197 Sömmerda, Losheim",49.5099,,Losheim,LO-AB6B6DF8,117,2006-01-13,Super Store,6.74549,DE,Europe
65,"Mario-Wirth-Gasse 598
60452 Cloppenburg, Burscheid",51.08468,,Burscheid,BU-44F16401,22,2019-01-11,Local,7.11393,DE,Europe
66,"Studio 44
Lynda village
New Alexanderbury
N66 2PJ, Rutherglen",55.82885,,Rutherglen,RU-9DF20437,7,1994-05-26,Mall Kiosk,-4.21376,GB,Europe
67,"Magarete-Caspar-Weg 37
58039 Melsungen, Ehingen",48.28259,,Ehingen,EH-DB65F258,21,2015-02-16,Local,9.72749,DE,Europe
68,"Flat 81A
Leonard glens
East Kayleigh
N8J 4SX, Southsea",50.79205,,Southsea,SO-6D328417,132,2002-03-30,Super Store,-1.08593,GB,Europe
69,"406 Charles Ramp
Port Jessicaview, WI 37544, Porterville",36.06523,,Porterville,PO-EB96293A,36,2003-04-19,Local,-119.01677,US,America
70,"Gorlitzweg 0/4
49302 Waldmünchen, Walsrode",52.86147,,Walsrode,WA-34998EB8,7,2017-04-15,Mall Kiosk,9.5926,DE,Europe
71,"Studio 9
Dunn summit
Thomasfurt
RH8 4TZ, Exeter",50.7236,,Exeter,EX-2C210EBF,37,1997-01-16,Local,-3.52751,GB,Europe
72,"122 Gray heights
Holmesview
S2U 7LP, Chapletown",53.46506,,Chapletown,CH-164A23FB,29,2017-10-11,Local,-1.47217,GB,Europe
73,"Studio 13
Russell ports
South Ricky
CR3B 4BA, Gainsborough",53.38333,,Gainsborough,GA-BA05E5A8,131,2012-08-16,Super Store,-0.76667,GB,Europe
74,"942 Field passage
Scottland
WD85 7UG, Chapletown",53.46506,,Chapletown,CH-A44B48E6,130,1998-12-12,Super Store,-1.47217,GB,Europe
75,"77 Jordan corner
New Kathleen
SP0 9HU, Thetford",52.41667,,Thetford,TH-D62B06B7,26,1996-04-19,Local,0.75,GB,Europe
76,"Yusuf-Christoph-Straße 784
00736 Koblenz, Landshut",48.52961,,Landshut,LA-6AAC1779,70,2001-08-01,Outlet,12.16179,DE,Europe
77,"91374 Stanley Rapid Apt. 083
South Christian, MI 26541, Morningside Heights",40.81,,Morningside Heights,MO-E8CFF8FE,40,2004-12-19,Local,-73.9625,US,America
78,"Ottomar-Gutknecht-Platz 7
52829 Fulda, Losheim",49.5099,,Losheim,LO-D54E72B5,20,1998-12-20,Local,6.74549,DE,Europe
79,"35 Collier tunnel
East Nicola
LA0 9LZ, East Dereham",52.68333,,East Dereham,EA-BE6D0CF8,29,1999-11-14,Local,0.93333,GB,Europe
80,"Studio 26
Anderson plain
Williamston
BT4P 5NN, Belper",53.0233,,Belper,BE-F4596696,23,2008-02-04,Local,-1.48119,GB,Europe
81,"Vincenzo-Lübs-Weg 8
59427 Eisenberg, Weimar",50.9803,,Weimar,WE-5B0343D9,51,2009-08-19,Outlet,11.32903,DE,Europe
82,"Zahnstraße 7/0
50265 Plauen, Schleswig",54.52156,,Schleswig,SC-8724E112,118,2002-09-30,Super Store,9.5586,DE,eeEurope
83,"5608 Jason Falls Apt. 917
Ericaside, ND 55443, Searcy",35.25064,,Searcy,SE-F428A035,34,2012-05-10,Local,-91.73625,US,America
84,"154 Arthur view
Port Emma
N5 6SH, Surbiton",51.39148,,Surbiton,SU-40E3321A,127,2010-03-16,Super Store,-0.29825,GB,Europe
85,"549 Watson highway
Marcusport
E2 3WZ, Exeter",50.7236,,Exeter,EX-9ED6711E,4,1999-12-10,Mall Kiosk,-3.52751,GB,Europe
86,"772 Jacqueline brook
Lake Derek
N2J 0ZZ, Bushey",51.64316,,Bushey,BU-550D8325,33,2018-02-18,Local,-0.36053,GB,Europe
87,"Gießring 51
99214 Querfurt, Landshut",48.52961,,Landshut,LA-9F489A77,34,2011-05-02,Local,12.16179,DE,Europe
88,"Kirsten-Geißler-Allee 5
87776 Pinneberg, Radevormwald",51.20219,,Radevormwald,RA-583F0CF9,135,2010-03-15,Super Store,7.36027,DE,Europe
89,"268 Johnson keys
West Josephinehaven
W1 7ST, Newbury",51.40148,,Newbury,NE-01250B4B,30,2021-03-12,Local,-1.32471,GB,Europe
90,"Cosimo-Rose-Ring 1/5
86826 Dieburg, Charlottenburg-Nord",52.53048,,Charlottenburg-Nord,CH-7C155EA7,110,2011-03-27,Super Store,13.29371,DE,Europe
91,"Manja-Wirth-Ring 7
99585 Grimma, Stade",53.59337,,Stade,ST-4D2E1D55,30,2005-04-28,Local,9.47629,DE,Europe
92,"Studio 43
Liam club
New Garyview
HX7 3PG, Arbroath",56.56317,,Arbroath,AR-2D9D5CD3,5,2000-12-29,Mall Kiosk,-2.58736,GB,Europe
93,"14577 Thomas Station
North Andrew, SD 63439, Mira Mesa",32.9156,,Mira Mesa,MI-20EE1BFA,20,2006-07-07,Local,-117.14392,US,America
94,"823 Caroline curve
Jasmineberg
B4G 7ZZ, Strood",51.39323,,Strood,ST-119B11EA,81,2022/01/20,Outlet,0.47713,GB,Europe
95,"Steffen-Boucsein-Straße 1
45299 Osterburg, Burscheid",51.08468,,Burscheid,BU-89E4DEC5,7,2017-01-09,Mall Kiosk,7.11393,DE,Europe
96,"Cichoriusplatz 61
10993 Niesky, Verl",51.88333,,Verl,VE-B81F9500,4,2000-07-10,Mall Kiosk,8.51667,DE,Europe
97,"Marvin-Schmiedt-Straße 40
41235 Erkelenz, Wesseling",50.82709,,Wesseling,WE-DC3933D4,21,1997-08-29,Local,6.9747,DE,Europe
98,"Studio 26
Paula coves
East Samuelfurt
EH17 8TE, Clacton-on-Sea",51.78967,,Clacton-on-Sea,CL-0FB1065C,28,2021-04-17,Local,1.15597,GB,Europe
99,"Walli-Ullrich-Ring 94
22096 Mallersdorf, Pfullingen",48.46458,,Pfullingen,PF-D90B564A,6,1997-12-01,Mall Kiosk,9.22796,DE,Europe
100,"Geißlerplatz 5
53713 Nördlingen, Bensheim",49.68369,,Bensheim,BE-028A2748,85,2005-10-31,Outlet,8.61839,DE,Europe
101,"Flat 56X
Wayne fields
Webbside
BL8R 2QU, Southsea",50.79205,,Southsea,SO-6D546AD2,41,2011-09-25,Outlet,-1.08593,GB,Europe
102,"0 Molly keys
Duncanton
HD7Y 4DU, High Wycombe",51.62907,,High Wycombe,HI-BED70096,57,1994-11-01,Outlet,-0.74934,GB,Europe
103,"64 Hayes crossing
Port Ellieville
G7S 1XQ, Walton-on-the-Naze",51.84819,,Walton-on-the-Naze,WA-FF3389AF,4,2001-02-16,Mall Kiosk,1.26738,GB,Europe
104,"822 Marsh mews
Francishaven
BR3X 2XJ, Chapletown",53.46506,,Chapletown,CH-7E92F288,7,2003-08-08,Mall Kiosk,-1.47217,GB,Europe
105,"Minna-Juncken-Gasse 906
83233 Husum, Friedberg",48.35693,,Friedberg,FR-C04291C3,33,2012-02-15,Local,10.98461,DE,Europe
106,"Sauerring 09
84370 Bernburg, Stuttgart",48.78232,,Stuttgart,ST-B754F535,33,2021-06-26,Local,9.17702,DE,Europe
107,"Flat 84
Morrison freeway
Wardbury
EC62 7LZ, Arbroath",56.56317,,Arbroath,AR-E8FDEB2B,20,2010-07-15,Local,-2.58736,GB,Europe
108,"Flat 9
Morris well
Webbmouth
W7 6FF, Lymington",50.75767,,Lymington,LY-FC3B1157,37,1993-05-06,Local,-1.5443,GB,Europe
109,"0 Smith camp
Masonchester
SK23 1WD, Belper",53.0233,,Belper,BE-09F94471,34,2012-09-15,Local,-1.48119,GB,Europe
110,"Flat 60t
Berry squares
Clarkstad
CR0 6RQ, Gainsborough",53.38333,,Gainsborough,GA-400CC35C,7,2021-06-16,Mall Kiosk,-0.76667,GB,Europe
111,"Studio 82
Rosemary drive
Scottside
CM7W 7XQ, Winsford",53.19146,,Winsford,WI-56B02C82,35,1999-11-05,Local,-2.52398,GB,Europe
112,"Flat 0
Hobbs avenue
East Diana
M9 8XN, High Wycombe",51.62907,,High Wycombe,HI-F2784D72,38,2008-02-27,Local,-0.74934,GB,Europe
113,"Studio 6
Anthony drive
New Ricky
WF8 6HA, Mexborough",53.49389,,Mexborough,ME-D9ECD7DF,21,2019-07-12,Local,-1.29243,GB,Europe
114,"7 Saunders divide
East Malcolm
W2 5FA, Leyland",53.69786,,Leyland,LE-14B7245B,102,2022-08-31,Super Store,-2.68758,GB,Europe
115,"7 Richards stravenue
West Allan
S1T 1BY, Rutherglen",55.82885,,Rutherglen,RU-AE12736B,29,2008-03-27,Local,-4.21376,GB,Europe
116,"4 Taylor plaza
Deanview
L1 2XR, Lancing",50.82882,,Lancing,LA-DE474D42,36,2019-08-07,Local,-0.32247,GB,Europe
117,"Linkeallee 7/3
66084 Füssen, Karben",50.23019,,Karben,KA-9D87BC15,69,2010-07-23,Super Store,8.77155,DE,Europe
118,"Flat 62
Ellis mountain
Brettport
RM53 0AQ, Chapletown",53.46506,,Chapletown,CH-DCCDE05E,29,2013-11-17,Local,-1.47217,GB,Europe
119,"Flat 1
Beverley islands
Lake Sheila
M8 1UU, Chapletown",53.46506,,Chapletown,CH-FBB32B94,30,2011-06-18,Local,-1.47217,GB,Europe
120,"Knappering 09
35944 Wertingen, Stade",53.59337,,Stade,ST-10F19C97,20,2001-11-28,Local,9.47629,DE,Europe
121,"694 Parker Unions
South Rebeccatown, GU 66824, Newburgh",41.50343,,Newburgh,NE-C83B8B22,21,2014-07-03,Local,-74.01042,US,America
122,"Studio 66K
Chloe road
Stanleyberg
S0 6NE, Selby",53.78333,,Selby,SE-8DF6557B,20,2020 February 01,Local,-1.06667,GB,Europe
123,"247 Melanie forge
North Nathan
N70 7ZZ, Surbiton",51.39148,,Surbiton,SU-346D5CF2,31,2021-02-27,Local,-0.29825,GB,Europe
124,"22 Hussain rue
Boothport
M24 9LZ, Bushey",51.64316,,Bushey,BU-784362E0,127,2015-12-13,Super Store,-0.36053,GB,Europe
125,"Studio 45r
West falls
Traceyfurt
L7 9NA, Arbroath",56.56317,,Arbroath,AR-0C5116E4,82,2008-09-01,Outlet,-2.58736,GB,Europe
126,"Keudelallee 65
00759 Mallersdorf, Oberhausen",51.47805,,Oberhausen,OB-7A4A9012,20,1996-06-05,Local,6.8625,DE,Europe
127,"Seipallee 4
20802 Göppingen, Radevormwald",51.20219,,Radevormwald,RA-2A22B217,103,2007-02-03,Super Store,7.36027,DE,Europe
128,"Studio 39t
Gavin drives
Cartwrightberg
CH1 6SJ, Westbury",51.26,,Westbury,WE-605028E4,32,1993-09-28,Local,-2.1875,GB,Europe
129,"Zimmerweg 693
26271 Havelberg, Pfullingen",48.46458,,Pfullingen,PF-1D7B0646,68,1995-11-07,Super Store,9.22796,DE,Europe
130,"Flat 0
Taylor grove
Jamesshire
G1D 5RD, Lancing",50.82882,,Lancing,LA-77BE2ADA,37,2002-08-16,Local,-0.32247,GB,eeEurope
131,"Hans-Eberhard-Franke-Gasse 1/0
40343 Rostock, Zeitz",51.04962,,Zeitz,ZE-BBF02AEA,31,2002-07-30,Local,12.1369,DE,Europe
132,"Studio 35o
Sylvia place
Howardstad
TS14 7XJ, Viewpark",55.82737,,Viewpark,VI-BCBBC21A,90,2014-09-03,Outlet,-4.0573,GB,Europe
133,"9 Tom gardens
Shanefurt
CV4X 0LU, Winsford",53.19146,,Winsford,WI-37616D0E,37,2000-08-19,Local,-2.52398,GB,Europe
134,"847 Joe spur
Marshallmouth
M71 2LP, Rhosllanerchrugog",53.00974,,Rhosllanerchrugog,RH-F3E200B7,6,2006-07-26,Mall Kiosk,-3.05814,GB,Europe
135,"984 Marshall causeway
West Francis
CF8W 2BQ, Bushey",51.64316,,Bushey,BU-19BB50F6,31,2007-02-28,Local,-0.36053,GB,Europe
136,"Süßebiergasse 4
30238 Mettmann, Marburg an der Lahn",50.80904,,Marburg an der Lahn,MA-316BDC6E,83,2011-11-06,Outlet,8.77069,DE,Europe
137,"Studio 01
Reynolds skyway
Lake Martynmouth
RG9A 5QL, Clacton-on-Sea",51.78967,,Clacton-on-Sea,CL-C183BE4B,99,1998-12-19,Super Store,1.15597,GB,Europe
138,"39869 Jessica Square Suite 441
Barbaraborough, NV 37780, Waverly",42.7392,,Waverly,WA-F4396DF8,29,1993-11-24,Local,-84.62081,US,America
139,"Eleni-Trommler-Allee 180
78345 Stendal, Marburg an der Lahn",50.80904,,Marburg an der Lahn,MA-0D207813,66,1995-12-30,Outlet,8.77069,DE,Europe
140,"Flat 84
Irene track
Hammondhaven
KY28 0FZ, Poulton-le-Fylde",53.83333,,Poulton-le-Fylde,PO-99029708,51,2006-10-18,Outlet,-2.98333,GB,Europe
141,"847 Lewis crossing
Dayberg
EN7 0SP, Gainsborough",53.38333,,Gainsborough,GA-190B3F6D,24,2003-04-07,Local,-0.76667,GB,eeEurope
142,"Studio 7
Patel motorway
Stevenburgh
B0C 8JF, Bushey",51.64316,,Bushey,BU-5B54171E,37,1997-02-07,Local,-0.36053,GB,Europe
143,"Eugenie-Pruschke-Straße 5
31111 Badibling, Memmingen",47.98372,,Memmingen,ME-9940FF73,7,May 2003 27,Mall Kiosk,10.18527,DE,Europe
144,"Flat 7
Bond passage
Port Katefurt
CA9 5AX, Clacton-on-Sea",51.78967,,Clacton-on-Sea,CL-DA5365DF,39,2005-08-01,Local,1.15597,GB,Europe
145,"0 Wall cliff
East Kevin
ML7A 6LS, Surbiton",51.39148,,Surbiton,SU-5F78B30A,29,2006-02-20,Local,-0.29825,GB,Europe
146,"Studio 89H
Clark trafficway
Lake Joanna
KY9 4SZ, Lymington",50.75767,,Lymington,LY-89B9F675,29,1994-08-09,Local,-1.5443,GB,Europe
147,"Heinz-Wilhelm-Boucsein-Ring 6
03556 Zerbst, Hechingen",48.35149,,Hechingen,HE-2908B53E,21,2021-02-20,Local,8.96317,DE,Europe
148,"7 Arnold lodge
Sophiemouth
B3 6NN, Arbroath",56.56317,,Arbroath,AR-D3FDDD1D,124,2019-12-08,Super Store,-2.58736,GB,Europe
149,"Erdal-Jacob-Ring 9
39042 Bad Freienwalde, Siegburg",50.80019,,Siegburg,SI-66F97423,74,2008-03-08,Super Store,7.20769,DE,Europe
150,"Hentschelstraße 5
48646 Gunzenhausen, Pfullingen",48.46458,,Pfullingen,PF-BADFAEDC,8,2014-05-24,Mall Kiosk,9.22796,DE,Europe
151,"2 Joan meadow
Perkinsbury
WF3 7YX, Newbury",51.40148,,Newbury,NE-EE2A190D,87,2015-02-12,Super Store,-1.32471,GB,Europe
152,"Studio 80
Baxter valleys
Collinsfurt
G0 6WT, Selby",53.78333,,Selby,SE-596EAA50,6,1994-09-10,Mall Kiosk,-1.06667,GB,Europe
153,"Ottoplatz 4
95953 Nürtingen, Radevormwald",51.20219,,Radevormwald,RA-C25EE56A,34,2005-01-04,Local,7.36027,DE,Europe
154,"Hans-Christian-Zahn-Platz 856
77913 Saulgau, Ehingen",48.28259,,Ehingen,EH-BB9AECF5,26,2006-05-22,Local,9.72749,DE,Europe
155,"Tröstplatz 5
15926 Wittmund, Pfullingen",48.46458,,Pfullingen,PF-F95902BC,23,2018-05-26,Local,9.22796,DE,eeEurope
156,"78005 Steele Orchard Apt. 098
East Jennifer, AZ 80303, Crystal Lake",42.24113,,Crystal Lake,CR-6B885B5E,25,2001-11-11,Local,-88.3162,US,America
157,"Studio 81
Chamberlain lights
North Emmashire
IP2 3AU, Hartley",51.38673,,Hartley,HA-1BAE9B71,7,2006-06-15,Mall Kiosk,0.30367,GB,Europe
158,"Guiseppe-Bauer-Weg 775
25489 Döbeln, Memmingen",47.98372,,Memmingen,ME-B363FDAA,22,2005-12-23,Local,10.18527,DE,Europe
159,"Juergen-Loos-Straße 0/8
93137 Mettmann, Trossingen",48.07667,,Trossingen,TR-4E1AF636,23,2022-06-21,Local,8.64409,DE,Europe
160,"Flat 73c
Ben junctions
North Katy
E8J 7RE, Viewpark",55.82737,,Viewpark,VI-43751A71,122,2003-11-19,Super Store,-4.0573,GB,eeEurope
161,"Marijan-Dehmel-Straße 0/8
24704 Germersheim, Dahlem",52.4581,,Dahlem,DA-D9DC550B,25,1998-04-22,Local,13.28702,DE,Europe
162,"Ekrem-Tintzmann-Weg 424
02111 Oberviechtach, Landshut",48.52961,,Landshut,LA-347073D1,28,2011-03-27,Local,12.16179,DE,Europe
163,"Studio 00
Murray course
Lake Gail
CH69 7TE, Viewpark",55.82737,,Viewpark,VI-9A93E3E2,38,2013-04-29,Local,-4.0573,GB,Europe
164,"Haasegasse 1/3
07219 Pinneberg, Charlottenburg-Nord",52.53048,,Charlottenburg-Nord,CH-6D105C69,5,2004-01-27,Mall Kiosk,13.29371,DE,Europe
165,"Dunja-Oderwald-Gasse 785
97452 Konstanz, Stuttgart",48.78232,,Stuttgart,ST-06E21C4A,23,2008-03-31,Local,9.17702,DE,Europe
166,"Lidia-Zobel-Straße 922
51389 Mallersdorf, Friedberg",48.35693,,Friedberg,FR-0FA7D921,31,2012-03-15,Local,10.98461,DE,eeEurope
167,"Studio 79w
Hazel heights
New Harry
E4C 8DA, Clacton-on-Sea",51.78967,,Clacton-on-Sea,CL-361E75EC,112,2001-05-20,Super Store,1.15597,GB,Europe
168,"Flat 48W
Thompson forest
West Maria
N84 4LE, Walton-on-the-Naze",51.84819,,Walton-on-the-Naze,WA-905645E6,36,2010-08-09,Local,1.26738,GB,Europe
